ASV,MeanRelAbund,SD,Treatment,Time,Taxon,SamplesCombined
ASV9,0.5883333333333334,1.5174250518159993,Streptomycin Low,24,ASV9,12
ASV10,0,0,Streptomycin Low,24,ASV10,12
ASV2,6.826627164995442,8.097291281881821,Streptomycin Low,24,ASV2,12
ASV6,2.6314085678237067,4.19716881222987,Streptomycin Low,24,ASV6,12
ASV5,0.5549999999999999,1.8786286100625247,Streptomycin Low,24,ASV5,12
ASV1,0.8149657064471879,1.346787248010615,Streptomycin Low,24,ASV1,12
ASV3,13.07238683127572,16.151139814184777,Streptomycin Low,24,ASV3,12
ASV7,4.140088119112732,8.004067688027169,Streptomycin Low,24,ASV7,12
ASV4,2.0299271743653766,3.159935633612708,Streptomycin Low,48,ASV4,12
ASV8,1.0233333333333334,3.5449306528243025,Streptomycin Low,48,ASV8,12
ASV9,10.348333333333333,19.12836724169978,Streptomycin Low,48,ASV9,12
ASV10,0.19,0.6581793068761734,Streptomycin Low,48,ASV10,12
ASV2,4.789968789013733,12.323673313897874,Streptomycin Low,48,ASV2,12
ASV6,1.5185393258426965,0.5040610007839091,Streptomycin Low,48,ASV6,12
ASV5,5.305,13.218199918707127,Streptomycin Low,48,ASV5,12
ASV1,0.4953204327923429,0.7220791928281525,Streptomycin Low,48,ASV1,12
ASV3,1.2,4.131792479167981,Streptomycin Low,48,ASV3,12
ASV7,0.16166666666666665,0.43571953726166,Streptomycin Low,48,ASV7,12
ASV4,0,0,Streptomycin Low,96,ASV4,12
ASV8,0.7063929040735873,1.4763004688479333,Streptomycin Low,96,ASV8,12
ASV9,9.626545112232826,18.344154852535546,Streptomycin Low,96,ASV9,12
ASV10,1.3833333333333335,4.2235860104748415,Streptomycin Low,96,ASV10,12
ASV2,2.112639431000087,6.9011925004248225,Streptomycin Low,96,ASV2,12
ASV6,4.377547524643885,2.5672375105500196,Streptomycin Low,96,ASV6,12
ASV5,3.62,12.540047846798672,Streptomycin Low,96,ASV5,12
ASV1,0.295,0.69476614770727,Streptomycin Low,96,ASV1,12
ASV3,0,0,Streptomycin Low,96,ASV3,12
ASV7,0,0,Streptomycin Low,96,ASV7,12
ASV4,4.323333333333333,4.937955655998347,Streptomycin High,0,ASV4,12
ASV8,0.39499999999999996,1.2272696969659558,Streptomycin High,0,ASV8,12
ASV9,0.0033333333333333335,0.011547005383792516,Streptomycin High,0,ASV9,12
ASV10,2.0966666666666667,4.8967880629381275,Streptomycin High,0,ASV10,12
ASV2,13.381666666666666,9.69992111807976,Streptomycin High,0,ASV2,12
ASV6,0.7866666666666666,0.2096461665557354,Streptomycin High,0,ASV6,12
ASV5,0.7516666666666667,2.5724337020640884,Streptomycin High,0,ASV5,12
ASV1,35.089999999999996,32.86797778440839,Streptomycin High,0,ASV1,12
ASV3,4.876666666666667,8.290291510757227,Streptomycin High,0,ASV3,12
ASV7,0,0,Streptomycin High,0,ASV7,12
ASV4,10.891666666666666,15.140694011554265,Streptomycin High,12,ASV4,12
ASV8,0.975,3.2172164705194795,Streptomycin High,12,ASV8,12
ASV9,0,0,Streptomycin High,12,ASV9,12
ASV10,0,0,Streptomycin High,12,ASV10,12
ASV2,21.852825158162847,22.35093262386766,Streptomycin High,12,ASV2,12
ASV6,2.2544971653931474,1.4084211380230796,Streptomycin High,12,ASV6,12
ASV5,5.9223243776189305,20.469003528164194,Streptomycin High,12,ASV5,12
ASV1,1.5953064661901242,3.000454770907103,Streptomycin High,12,ASV1,12
ASV3,0.004999999999999999,0.017320508075688773,Streptomycin High,12,ASV3,12
ASV7,1.0566666666666666,2.3941570288491687,Streptomycin High,12,ASV7,12
ASV4,8.406271761040864,9.73179589280226,Streptomycin High,24,ASV4,12
ASV8,0.30166666666666664,0.9191877178281161,Streptomycin High,24,ASV8,12
ASV9,0,0,Streptomycin High,24,ASV9,12
ASV10,0.7474628916987356,1.5585543771379378,Streptomycin High,24,ASV10,12
ASV2,42.32303829943192,28.218630311046745,Streptomycin High,24,ASV2,12
ASV6,1.2655167674546453,0.660699708776959,Streptomycin High,24,ASV6,12
ASV5,3.826666666666666,11.636482859237722,Streptomycin High,24,ASV5,12
ASV1,2.3049999999999997,5.989203164483114,Streptomycin High,24,ASV1,12
ASV3,0.055,0.06882124407741869,Streptomycin High,24,ASV3,12
ASV7,0.33333333333333337,1.1547005383792517,Streptomycin High,24,ASV7,12
ASV4,0.47000000000000003,0.893593358809862,Streptomycin High,48,ASV4,12
ASV8,0,0,Streptomycin High,48,ASV8,12
ASV9,1.8316666666666668,4.7491890854857495,Streptomycin High,48,ASV9,12
ASV10,0.7533333333333334,1.4191760306813972,Streptomycin High,48,ASV10,12
ASV2,46.58833333333333,23.331455876848604,Streptomycin High,48,ASV2,12
ASV6,0.9383333333333334,0.31106366882136216,Streptomycin High,48,ASV6,12
ASV5,2.835,9.738986786948816,Streptomycin High,48,ASV5,12
ASV1,2.1716666666666664,3.2832185797513147,Streptomycin High,48,ASV1,12
ASV3,0.030000000000000002,0.04786344211304794,Streptomycin High,48,ASV3,12
ASV7,0.38833333333333336,1.0395963668946744,Streptomycin High,48,ASV7,12
ASV4,0.23166666666666666,0.5041975322382602,Streptomycin High,96,ASV4,12
ASV8,0,0,Streptomycin High,96,ASV8,12
ASV9,2.481666666666667,6.700645604354219,Streptomycin High,96,ASV9,12
ASV10,1.0133333333333332,1.707999006457734,Streptomycin High,96,ASV10,12
ASV2,28.823333333333334,15.894167788750996,Streptomycin High,96,ASV2,12
ASV6,1.5916666666666666,0.5140540002290762,Streptomycin High,96,ASV6,12
ASV5,4.345,9.265066844678651,Streptomycin High,96,ASV5,12
ASV1,0.5950000000000001,1.1982449286731445,Streptomycin High,96,ASV1,12
ASV3,0.016666666666666666,0.030550504633038936,Streptomycin High,96,ASV3,12
ASV7,0.2766666666666666,0.8443537963042113,Streptomycin High,96,ASV7,12
ASV4,3.726666666666666,2.6618152839858378,Ciprofloxacin Low,0,ASV4,12
ASV8,0.5516666666666667,0.9553469939178534,Ciprofloxacin Low,0,ASV8,12
ASV9,0,0,Ciprofloxacin Low,0,ASV9,12
ASV10,0.8166666666666668,1.4031868490451773,Ciprofloxacin Low,0,ASV10,12
ASV2,17.208333333333332,17.02467398344016,Ciprofloxacin Low,0,ASV2,12
ASV6,0.6966666666666667,0.2808860439697382,Ciprofloxacin Low,0,ASV6,12
ASV5,4.383333333333334,10.16144883489763,Ciprofloxacin Low,0,ASV5,12
ASV1,35.57833333333333,31.254162147066932,Ciprofloxacin Low,0,ASV1,12
ASV3,5.235,9.688606710977592,Ciprofloxacin Low,0,ASV3,12
ASV7,0.44666666666666666,1.150883718423948,Ciprofloxacin Low,0,ASV7,12
ASV4,8.62,12.662994044925483,Ciprofloxacin Low,12,ASV4,12
ASV8,1.2,3.443454924662412,Ciprofloxacin Low,12,ASV8,12
ASV9,0,0,Ciprofloxacin Low,12,ASV9,12
ASV10,1.055,2.402258407113076,Ciprofloxacin Low,12,ASV10,12
ASV2,5.398333333333333,10.506044868925642,Ciprofloxacin Low,12,ASV2,12
ASV6,1.6199999999999999,0.45222681356714234,Ciprofloxacin Low,12,ASV6,12
ASV5,12.621666666666668,19.36672959359724,Ciprofloxacin Low,12,ASV5,12
